Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
14	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	cinquante-cinq	1	Opp#1 ANSWER	2005-04-10 01:52:14	2005-04-10 01:52:31		2005-04-10 01:52:36	22	.	22	incorrect	2	0	0	.	Single-KC	14	0.5679	KC234	1	
15	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	cinquante-quatre	1	Opp#1 ANSWER	2005-04-10 01:52:36	2005-04-10 01:53:04	2005-04-10 01:53:04	2005-04-10 01:53:04	28	28	.	correct	0	0	1	.	Single-KC	15	0.5677	KC105	1	
16	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	une grosse voiture	1	Opp#1 ANSWER	2005-04-10 01:53:04	2005-04-10 01:53:32	2005-04-10 01:53:32	2005-04-10 01:53:32	28	28	.	correct	0	0	1	.	Single-KC	16	0.5675	KC190	1	
17	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un grand écrivain	1	Opp#1 ANSWER	2005-04-10 01:53:32	2005-04-10 01:54:14	2005-04-10 01:54:14	2005-04-10 01:54:14	42	42	.	correct	0	0	1	.	Single-KC	17	0.5673	KC85	1	
18	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	départements d'outre-mer	1	Opp#1 ANSWER	2005-04-10 01:54:14	2005-04-10 01:55:22		2005-04-10 01:56:08	114	.	114	incorrect	2	0	0	.	Single-KC	18	0.5671	KC366	1	
19	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux bonnes écoles	1	Opp#1 ANSWER	2005-04-10 01:56:08	2005-04-10 01:56:51	2005-04-10 01:56:51	2005-04-10 01:56:51	43	43	.	correct	0	0	1	.	Single-KC	19	0.5669	KC361	1	
20	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux bons parents	1	Opp#1 ANSWER	2005-04-10 01:56:51	2005-04-10 01:57:20	2005-04-10 01:57:20	2005-04-10 01:57:20	29	29	.	correct	0	0	1	.	Single-KC	20	0.5667	KC262	1	
21	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux gros hommes	1	Opp#1 ANSWER	2005-04-10 01:57:20	2005-04-10 01:57:34	2005-04-10 01:57:34	2005-04-10 01:57:34	14	14	.	correct	0	0	1	.	Single-KC	21	0.5665	KC274	1	
22	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	une jeune femme	1	Opp#1 ANSWER	2005-04-10 01:57:34	2005-04-10 01:57:51	2005-04-10 01:57:51	2005-04-10 01:57:51	17	17	.	correct	0	0	1	.	Single-KC	22	0.5663	KC439	1	
23	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	une mauvaise voiture	1	Opp#1 ANSWER	2005-04-10 01:57:51	2005-04-10 01:58:05		2005-04-10 01:58:10	19	.	19	incorrect	2	0	0	.	Single-KC	23	0.5661	KC207	1	
24	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	vingt-neuf	1	Opp#1 ANSWER	2005-04-10 01:58:10	2005-04-10 01:58:23	2005-04-10 01:58:23	2005-04-10 01:58:23	13	13	.	correct	0	0	1	.	Single-KC	24	0.5659	KC3	1	
25	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux vieilles femmes	1	Opp#1 ANSWER	2005-04-10 01:58:23	2005-04-10 01:58:46		2005-04-10 01:58:48	25	.	25	incorrect	2	0	0	.	Single-KC	25	0.5657	KC182	1	
26	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux vieux hommes	1	Opp#1 ANSWER	2005-04-10 01:58:48	2005-04-10 01:59:12	2005-04-10 01:59:12	2005-04-10 01:59:12	24	24	.	correct	0	0	1	.	Single-KC	26	0.5655	KC66	1	
27	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	généreuse	1	Opp#1 ANSWER	2005-04-10 01:59:12	2005-04-10 02:00:14	2005-04-10 02:00:14	2005-04-10 02:00:14	62	62	.	correct	0	0	1	.	Single-KC	27	0.5653	KC75	1	
28	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	généreux	1	Opp#1 ANSWER	2005-04-10 02:00:14	2005-04-10 02:00:32	2005-04-10 02:00:32	2005-04-10 02:00:32	18	18	.	correct	0	0	1	.	Single-KC	28	0.5651	KC49	1	
29	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	les saisons et les mois	1	Opp#1 ANSWER	2005-04-10 02:00:32	2005-04-10 02:01:01	2005-04-10 02:01:01	2005-04-10 02:01:01	29	29	.	correct	0	0	1	.	Single-KC	29	0.5649	KC235	1	
30	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	notre chat	1	Opp#1 ANSWER	2005-04-10 02:01:01	2005-04-10 02:01:18	2005-04-10 02:01:18	2005-04-10 02:01:18	17	17	.	correct	0	0	1	.	Single-KC	30	0.5647	KC73	1	
31	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	quarante-et-un	1	Opp#1 ANSWER	2005-04-10 02:01:18	2005-04-10 02:01:47	2005-04-10 02:01:47	2005-04-10 02:01:47	29	29	.	correct	0	0	1	.	Single-KC	31	0.5645	KC189	1	
32	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	son frère	1	Opp#1 ANSWER	2005-04-10 02:01:47	2005-04-10 02:02:04	2005-04-10 02:02:04	2005-04-10 02:02:04	17	17	.	correct	0	0	1	.	Single-KC	32	0.5643	KC415	1	
33	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	trente-deux	1	Opp#1 ANSWER	2005-04-10 02:02:04	2005-04-10 02:02:14	2005-04-10 02:02:14	2005-04-10 02:02:14	10	10	.	correct	0	0	1	.	Single-KC	33	0.5641	KC94	1	
34	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un beau jardin	1	Opp#1 ANSWER	2005-04-10 02:02:14	2005-04-10 02:02:25		2005-04-10 02:02:38	24	.	24	incorrect	3	0	0	.	Single-KC	34	0.5639	KC149	1	
35	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	une bonne amie	1	Opp#1 ANSWER	2005-04-10 02:02:38	2005-04-10 02:02:48	2005-04-10 02:02:48	2005-04-10 02:02:48	10	10	.	correct	0	0	1	.	Single-KC	35	0.5637	KC372	1	
36	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux grosses filles	1	Opp#1 ANSWER	2005-04-10 02:02:48	2005-04-10 02:02:57	2005-04-10 02:02:57	2005-04-10 02:02:57	9	9	.	correct	0	0	1	.	Single-KC	36	0.5635	KC58	1	
37	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	le théâtre	1	Opp#1 ANSWER	2005-08-11 02:40:05	2005-08-11 02:40:05		2005-08-11 02:41:10	65	.	65	incorrect	2	0	0	.	Single-KC	37	0.5634	KC281	1	
38	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un acteur	1	Opp#1 ANSWER	2005-08-11 02:41:10	2005-08-11 02:41:48		2005-08-11 02:43:04	114	.	114	incorrect	2	0	0	.	Single-KC	38	0.5632	KC33	1	
39	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	une actrice	1	Opp#1 ANSWER	2005-08-11 02:43:04	2005-08-11 02:43:19	2005-08-11 02:43:19	2005-08-11 02:43:19	15	15	.	correct	0	0	1	.	Single-KC	39	0.5630	KC35	1	
40	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un metteur en scène	1	Opp#1 ANSWER	2005-08-11 02:43:19	2005-08-11 02:43:40	2005-08-11 02:43:40	2005-08-11 02:43:40	21	21	.	correct	0	0	1	.	Single-KC	40	0.5628	KC390	1	
41	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un compositeur	1	Opp#1 ANSWER	2005-08-11 02:43:40	2005-08-11 02:44:44	2005-08-11 02:44:44	2005-08-11 02:44:44	64	64	.	correct	0	0	1	.	Single-KC	41	0.5626	KC285	1	
42	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	du Maghreb	1	Opp#1 ANSWER	2005-08-11 02:44:44	2005-08-11 02:45:36		2005-08-11 02:45:49	65	.	65	incorrect	3	0	0	.	Single-KC	42	0.5624	KC437	1	
43	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	immigré en situation régulière	1	Opp#1 ANSWER	2005-08-11 02:45:49	2005-08-11 02:49:20		2005-08-11 02:50:20	271	.	271	incorrect	3	0	0	.	Single-KC	43	0.5622	KC381	1	
44	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	la laïcité et la religion	1	Opp#1 ANSWER	2005-08-11 02:50:20	2005-08-11 02:56:19	2005-08-11 02:56:19	2005-08-11 02:56:19	359	359	.	correct	0	0	1	.	Single-KC	44	0.5620	KC255	1	
45	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	catholique pratiquant	1	Opp#1 ANSWER	2005-08-11 02:56:19	2005-08-11 02:57:09	2005-08-11 02:57:09	2005-08-11 02:57:09	50	50	.	correct	0	0	1	.	Single-KC	45	0.5618	KC211	1	
46	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	athée affirmé	1	Opp#1 ANSWER	2005-08-11 02:57:09	2005-08-11 02:59:52		2005-08-11 03:05:29	500	.	500	incorrect	3	0	0	.	Single-KC	46	0.5616	KC304	1	
47	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un chanteur	1	Opp#1 ANSWER	2005-08-11 03:05:29	2005-08-11 03:08:42	2005-08-11 03:08:42	2005-08-11 03:08:42	193	193	.	correct	0	0	1	.	Single-KC	47	0.5614	KC173	1	
48	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	les syndicats	1	Opp#1 ANSWER	2005-08-11 03:08:42	2005-08-11 03:12:13		2005-08-11 03:13:14	272	.	272	incorrect	3	0	0	.	Single-KC	48	0.5612	KC429	1	
49	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	les patrons	1	Opp#1 ANSWER	2005-08-11 03:13:14	2005-08-11 03:13:26		2005-08-11 03:13:31	17	.	17	incorrect	2	0	0	.	Single-KC	49	0.5610	KC20	1	
50	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	une chanteuse	1	Opp#1 ANSWER	2005-08-11 03:13:31	2005-08-11 03:13:41	2005-08-11 03:13:41	2005-08-11 03:13:41	10	10	.	correct	0	0	1	.	Single-KC	50	0.5608	KC273	1	
51	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	homme d'affaires	1	Opp#1 ANSWER	2005-08-11 03:13:41	2005-08-11 03:14:30		2005-08-11 03:15:28	107	.	107	incorrect	2	0	0	.	Single-KC	51	0.5606	KC444	1	
52	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un chirurgien	1	Opp#1 ANSWER	2005-08-11 03:15:28	2005-08-11 03:15:51		2005-08-11 03:16:49	81	.	81	incorrect	3	0	0	.	Single-KC	52	0.5604	KC406	1	
53	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un juge	1	Opp#1 ANSWER	2005-08-11 03:16:49	2005-08-11 03:17:00	2005-08-11 03:17:00	2005-08-11 03:17:00	11	11	.	correct	0	0	1	.	Single-KC	53	0.5602	KC25	1	
54	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	tout à fait possible	1	Opp#1 ANSWER	2005-08-11 03:17:00	2005-08-11 03:17:45	2005-08-11 03:17:45	2005-08-11 03:17:45	45	45	.	correct	0	0	1	.	Single-KC	54	0.5600	KC29	1	
55	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un travail qui m'intéresse	1	Opp#1 ANSWER	2005-08-11 03:17:45	2005-08-11 03:20:05	2005-08-11 03:20:05	2005-08-11 03:20:05	140	140	.	correct	0	0	1	.	Single-KC	55	0.5598	KC394	1	
56	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	un habitant de la ville où vous habitez	1	Opp#1 ANSWER	2005-08-11 03:20:05	2005-08-11 03:22:38	2005-08-11 03:22:38	2005-08-11 03:22:38	153	153	.	correct	0	0	1	.	Single-KC	56	0.5596	KC440	1	
57	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	poser des questions	1	Opp#1 ANSWER	2005-08-11 03:22:38	2005-08-11 03:23:27		2005-08-11 03:23:34	56	.	56	incorrect	2	0	0	.	Single-KC	57	0.5594	KC436	1	
58	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	s'entendre	1	Opp#1 ANSWER	2005-08-11 03:23:34	2005-08-11 03:23:51		2005-08-11 03:24:17	43	.	43	incorrect	3	0	0	.	Single-KC	58	0.5592	KC72	1	
59	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Je propose un toast.	1	Opp#1 ANSWER	2005-08-11 03:24:17	2005-08-11 03:25:20	2005-08-11 03:25:20	2005-08-11 03:25:20	63	63	.	correct	0	0	1	.	Single-KC	59	0.5590	KC213	1	
60	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Parlez plus fort.	1	Opp#1 ANSWER	2005-08-11 03:25:20	2005-08-11 03:25:34		2005-08-11 03:25:47	27	.	27	incorrect	3	0	0	.	Single-KC	60	0.5588	KC376	1	
61	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Parle plus fort.	1	Opp#1 ANSWER	2005-08-11 03:25:47	2005-08-11 03:26:45		2005-08-11 03:27:15	88	.	88	incorrect	3	0	0	.	Single-KC	61	0.5586	KC237	1	
62	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Jouez avec votre cousin.	1	Opp#1 ANSWER	2005-08-11 03:27:15	2005-08-11 03:27:38		2005-08-11 03:28:53	98	.	98	incorrect	3	0	0	.	Single-KC	62	0.5584	KC389	1	
63	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Chante pour nous.	1	Opp#1 ANSWER	2005-08-11 03:28:53	2005-08-11 03:29:13		2005-08-11 03:30:06	73	.	73	incorrect	3	0	0	.	Single-KC	63	0.5582	KC421	1	
64	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Il y a quelqu'un à la porte.	1	Opp#1 ANSWER	2005-08-11 03:30:06	2005-08-11 03:30:34		2005-08-11 03:31:39	93	.	93	incorrect	2	0	0	.	Single-KC	64	0.5580	KC61	1	
65	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L4a2	Sois gentil.	1	Opp#1 ANSWER	2005-08-11 03:31:39	2005-08-11 03:33:06		2005-08-11 03:34:05	146	.	146	incorrect	3	0	0	.	Single-KC	65	0.5578	KC230	1	
66	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Jouez avec votre cousin.	1	Opp#1 ANSWER	2006-04-11 01:00:00	2006-04-11 01:00:00	2006-04-11 01:00:00	2006-04-11 01:00:00	0	0	.	correct	0	0	1	.	Single-KC	66	0.5576	KC218	1	
67	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Chante pour nous.	1	Opp#1 ANSWER	2006-04-11 01:00:00	2006-04-11 01:00:10	2006-04-11 01:00:10	2006-04-11 01:00:10	10	10	.	correct	0	0	1	.	Single-KC	67	0.5574	KC279	1	
68	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Il y a quelqu'un à la porte.	1	Opp#1 ANSWER	2006-04-11 01:00:10	2006-04-11 01:00:36		2006-04-11 01:00:36	26	.	26	incorrect	1	0	0	.	Single-KC	68	0.5572	KC258	1	
69	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Sois gentil!	1	Opp#1 ANSWER	2006-04-11 01:00:36	2006-04-11 01:01:46		2006-04-11 01:01:46	70	.	70	incorrect	1	0	0	.	Single-KC	69	0.5570	KC284	1	
70	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	quatre millions de musulmans	1	Opp#1 ANSWER	2006-04-12 00:46:43	2006-04-12 00:46:43		2006-04-12 00:46:43	0	.	0	incorrect	1	0	0	.	Single-KC	70	0.5568	KC84	1	
71	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	l'hôtel de ville	1	Opp#1 ANSWER	2006-04-12 00:46:43	2006-04-12 00:47:29	2006-04-12 00:47:29	2006-04-12 00:47:29	46	46	.	correct	0	0	1	.	Single-KC	71	0.5566	KC296	1	
72	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	la réduction des horaires du travail	1	Opp#1 ANSWER	2006-04-12 00:47:29	2006-04-12 00:48:56		2006-04-12 00:48:56	87	.	87	incorrect	1	0	0	.	Single-KC	72	0.5564	KC52	1	
73	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	le partage du travail	1	Opp#1 ANSWER	2006-04-12 00:48:56	2006-04-12 00:49:18		2006-04-12 00:49:18	22	.	22	incorrect	1	0	0	.	Single-KC	73	0.5562	KC195	1	
74	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Maman parle le français et un peu l'anglais.	1	Opp#1 ANSWER	2006-04-12 00:49:18	2006-04-12 00:50:58		2006-04-12 00:50:58	100	.	100	incorrect	1	0	0	.	Single-KC	74	0.5560	KC128	1	
75	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Tu es catholique.	1	Opp#1 ANSWER	2006-04-12 00:50:58	2006-04-12 00:51:28		2006-04-12 00:51:28	30	.	30	incorrect	1	0	0	.	Single-KC	75	0.5558	KC186	1	
76	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	C'est une musulmane.	1	Opp#1 ANSWER	2006-04-12 00:51:28	2006-04-12 00:52:09		2006-04-12 00:52:09	41	.	41	incorrect	1	0	0	.	Single-KC	76	0.5556	KC69	1	
77	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Martine va chez elle .	1	Opp#1 ANSWER	2006-04-12 00:52:09	2006-04-12 00:53:13		2006-04-12 00:53:13	64	.	64	incorrect	1	0	0	.	Single-KC	77	0.5554	KC375	1	
78	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Chantez pour nous.	1	Opp#1 ANSWER	2006-04-12 00:53:13	2006-04-12 00:53:31		2006-04-12 00:53:31	18	.	18	incorrect	1	0	0	.	Single-KC	78	0.5552	KC106	1	
79	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Est-ce que vous savez taper?	1	Opp#1 ANSWER	2006-04-12 00:53:31	2006-04-12 00:54:01		2006-04-12 00:54:01	30	.	30	incorrect	1	0	0	.	Single-KC	79	0.5550	KC377	1	
80	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Elle est étudiante aux beaux-arts.	1	Opp#1 ANSWER	2006-04-12 00:54:01	2006-04-12 00:54:58		2006-04-12 00:54:58	57	.	57	incorrect	1	0	0	.	Single-KC	80	0.5548	KC299	1	
81	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Ayez confiance!	1	Opp#1 ANSWER	2006-04-12 00:54:58	2006-04-12 00:55:27		2006-04-12 00:55:27	29	.	29	incorrect	1	0	0	.	Single-KC	81	0.5546	KC441	1	
82	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	un metteur en scène	1	Opp#1 ANSWER	2006-04-12 00:55:27	2006-04-12 00:56:12		2006-04-12 00:56:12	45	.	45	incorrect	1	0	0	.	Single-KC	82	0.5544	KC177	1	
83	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	les syndicats	1	Opp#1 ANSWER	2006-04-12 00:56:12	2006-04-12 00:57:09		2006-04-12 00:57:09	57	.	57	incorrect	1	0	0	.	Single-KC	83	0.5542	KC379	1	
84	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	homme d'affaires	1	Opp#1 ANSWER	2006-04-12 00:57:09	2006-04-12 00:57:26		2006-04-12 00:57:26	17	.	17	incorrect	1	0	0	.	Single-KC	84	0.5540	KC113	1	
85	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	un chirurgien	1	Opp#1 ANSWER	2006-04-12 00:57:26	2006-04-12 00:57:53		2006-04-12 00:57:53	27	.	27	incorrect	1	0	0	.	Single-KC	85	0.5538	KC81	1	
86	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	un juge	1	Opp#1 ANSWER	2006-04-12 00:57:53	2006-04-12 00:58:01	2006-04-12 00:58:01	2006-04-12 00:58:01	8	8	.	correct	0	0	1	.	Single-KC	86	0.5536	KC88	1	
87	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	un travail qui m'intéresse	1	Opp#1 ANSWER	2006-04-12 00:58:01	2006-04-12 00:58:24		2006-04-12 00:58:24	23	.	23	incorrect	1	0	0	.	Single-KC	87	0.5535	KC97	1	
88	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Je propose un toast.	1	Opp#1 ANSWER	2006-04-12 00:58:24	2006-04-12 00:58:52		2006-04-12 00:58:52	28	.	28	incorrect	1	0	0	.	Single-KC	88	0.5533	KC5	1	
89	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 4atest	Parle plus fort.	1	Opp#1 ANSWER	2006-04-12 00:58:52	2006-04-12 00:59:27		2006-04-12 00:59:27	35	.	35	incorrect	1	0	0	.	Single-KC	89	0.5531	KC353	1	
90	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L5a	En général, je mange trois repas par jour.	1	Opp#1 ANSWER	2006-04-12 17:27:05	2006-04-12 17:27:05		2006-04-12 17:28:10	65	.	65	incorrect	3	0	0	.	Single-KC	90	0.5529	KC240	1	
91	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L5a	Le matin, je n'ai pas faim.	1	Opp#1 ANSWER	2006-04-12 17:28:10	2006-04-12 17:28:56	2006-04-12 17:28:56	2006-04-12 17:28:56	46	46	.	correct	0	0	1	.	Single-KC	91	0.5527	KC89	1	
92	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L5a	Je n'ai pas envie de manger.	1	Opp#1 ANSWER	2006-04-12 17:28:56	2006-04-12 17:29:21		2006-04-12 17:30:04	68	.	68	incorrect	3	0	0	.	Single-KC	92	0.5525	KC13	1	
93	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L5a	Mais j'ai besoin de manger.	1	Opp#1 ANSWER	2006-04-12 17:30:04	2006-04-12 17:32:15	2006-04-12 17:32:15	2006-04-12 17:32:15	131	131	.	correct	0	0	1	.	Single-KC	93	0.5523	KC370	1	
94	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L5a	Alors je mange un peu.	1	Opp#1 ANSWER	2006-04-12 17:32:15	2006-04-12 17:32:58		2006-04-12 17:33:35	80	.	80	incorrect	3	0	0	.	Single-KC	94	0.5521	KC221	1	
